Opened,Closed,Symbol,Exp,Type,Legs,Quantity,Status,P/L,Risk,ROR,Premium,Reward/Risk,Open Price,Open Bid Price,Open Ask Price,Close Price,Close Bid Price,Close Ask Price,Max Loss,Max Profit,Price at Open,Price at Close
"Apr 21, 2023 10:00am","Apr 21, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,120 / short put 4,130 / short call 4,130 / long call 4,140","1","expired","476","172","276.74","828","481.4","8.28","8.05","8.5","3.52","","","172","828","4121.42","4133.52"
"Apr 24, 2023 10:00am","Apr 24, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,125 / short put 4,135 / short call 4,135 / long call 4,145","1","expired","621","175","354.86","825","471.43","8.25","7.9","8.6","2.04","","","175","825","4139.04","4137.04"
"Apr 25, 2023 10:00am","Apr 25, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,125 / short put 4,135 / short call 4,135 / long call 4,145","1","expired","-125","125","-100","875","700","8.75","7.8","9.7","10","","","125","875","4114.01","4071.63"
"Apr 26, 2023 10:00am","Apr 26, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,060 / short put 4,070 / short call 4,070 / long call 4,080","1","expired","-145","145","-100","855","589.66","8.55","8.2","8.9","10","","","145","855","4080.12","4055.99"
"May 1, 2023 10:00am","May 1, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,160 / short put 4,170 / short call 4,170 / long call 4,180","1","expired","597","190","314.21","810","426.32","8.1","7.6","8.6","2.13","","","190","810","4174.94","4167.87"
"May 4, 2023 10:00am","May 4, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,080 / short put 4,090 / short call 4,090 / long call 4,100","1","expired","-103","103","-100","897","870.87","8.97","8.55","9.4","10","","","103","897","4067.03","4061.22"
"May 8, 2023 10:00am","May 8, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,125 / short put 4,135 / short call 4,135 / long call 4,145","1","expired","488","200","244","800","400","8","7.6","8.4","3.12","","","200","800","4132.37","4138.12"
"May 9, 2023 10:00am","May 9, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,130 / short put 4,140 / short call 4,140 / long call 4,150","1","expired","-181","181","-100","819","452.49","8.19","7.8","8.6","10","","","181","819","4125.68","4119.17"
"May 10, 2023 10:00am","May 10, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,110 / short put 4,120 / short call 4,120 / long call 4,130","1","expired","-110","110","-100","890","809.09","8.9","8.5","9.3","10","","","110","890","4135.2","4137.64"
"May 11, 2023 10:00am","May 11, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,130 / short put 4,140 / short call 4,140 / long call 4,150","1","expired","-26","88","-29.55","912","1036.36","9.12","8.5","9.75","9.38","","","88","912","4112.42","4130.62"
"May 15, 2023 10:00am","May 15, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,115 / short put 4,125 / short call 4,125 / long call 4,135","1","expired","-185","185","-100","815","440.54","8.15","7.85","8.45","10","","","185","815","4115.38","4136.28"
"May 16, 2023 10:00am","May 16, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,125 / short put 4,135 / short call 4,135 / long call 4,145","1","expired","-193","193","-100","807","418.13","8.07","7.6","8.55","10","","","193","807","4123.57","4109.9"
"May 17, 2023 10:00am","May 17, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,100 / short put 4,110 / short call 4,110 / long call 4,120","1","expired","-180","180","-100","820","455.56","8.2","7.9","8.5","10","","","180","820","4114.57","4158.77"
"May 18, 2023 10:00am","May 18, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,150 / short put 4,160 / short call 4,160 / long call 4,170","1","expired","-195","195","-100","805","412.82","8.05","7.6","8.5","10","","","195","805","4157.29","4198.05"
"May 19, 2023 10:00am","May 19, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,190 / short put 4,200 / short call 4,200 / long call 4,210","1","expired","73","125","58.4","875","700","8.75","8.4","9.1","8.02","","","125","875","4211.47","4191.98"
"May 22, 2023 10:00am","May 22, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,180 / short put 4,190 / short call 4,190 / long call 4,200","1","expired","592","145","408.28","855","589.66","8.55","8.2","8.9","2.63","","","145","855","4195.54","4192.63"
"May 23, 2023 10:00am","May 23, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,185 / short put 4,195 / short call 4,195 / long call 4,205","1","expired","-160","160","-100","840","525","8.4","7.55","9.25","10","","","160","840","4182","4145.58"
"May 24, 2023 10:00am","May 24, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,135 / short put 4,145 / short call 4,145 / long call 4,155","1","expired","-105","105","-100","895","852.38","8.95","8.45","9.45","10","","","105","895","4115.48","4115.24"
"May 30, 2023 10:00am","May 30, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,195 / short put 4,205 / short call 4,205 / long call 4,215","1","expired","823","125","658.4","875","700","8.75","8.05","9.45","0.52","","","125","875","4218.42","4205.52"
"May 31, 2023 10:00am","May 31, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,195 / short put 4,205 / short call 4,205 / long call 4,215","1","expired","-127","127","-100","873","687.4","8.73","7.75","9.7","10","","","127","873","4184.71","4179.83"
"Jun 1, 2023 10:00am","Jun 1, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,170 / short put 4,180 / short call 4,180 / long call 4,190","1","expired","-145","145","-100","855","589.66","8.55","7.6","9.5","10","","","145","855","4175.14","4221.02"
"Jun 2, 2023 10:00am","Jun 2, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,210 / short put 4,220 / short call 4,220 / long call 4,230","1","expired","-88","88","-100","912","1036.36","9.12","8.45","9.8","10","","","88","912","4246.49","4282.37"
"Jun 6, 2023 10:00am","Jun 6, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,265 / short put 4,275 / short call 4,275 / long call 4,285","1","expired","-88","203","-43.35","797","392.61","7.97","7.75","8.2","8.85","","","203","797","4268.82","4283.85"
"Jun 7, 2023 10:00am","Jun 7, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,275 / short put 4,285 / short call 4,285 / long call 4,295","1","expired","-170","170","-100","830","488.24","8.3","7.95","8.65","10","","","170","830","4295.33","4267.52"
"Jun 8, 2023 10:00am","Jun 8, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,260 / short put 4,270 / short call 4,270 / long call 4,280","1","expired","-215","215","-100","785","365.12","7.85","7.5","8.2","10","","","215","785","4266.75","4293.93"
"Jun 9, 2023 10:00am","Jun 9, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,285 / short put 4,295 / short call 4,295 / long call 4,305","1","expired","483","131","368.7","869","663.36","8.69","8.35","9.05","3.86","","","131","869","4311.96","4298.86"
"Jun 12, 2023 10:00am","Jun 12, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,290 / short put 4,300 / short call 4,300 / long call 4,310","1","expired","-153","153","-100","847","553.59","8.47","7.95","9","10","","","153","847","4312.12","4338.93"
"Jun 13, 2023 10:00am","Jun 13, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,330 / short put 4,340 / short call 4,340 / long call 4,350","1","expired","-105","105","-100","895","852.38","8.95","8.45","9.45","10","","","105","895","4359.14","4369.01"
"Jun 14, 2023 10:00am","Jun 14, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,360 / short put 4,370 / short call 4,370 / long call 4,380","1","expired","641","100","641","900","900","9","8.8","9.2","2.59","","","100","900","4376.23","4372.59"
"Jun 15, 2023 10:00am","Jun 15, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,365 / short put 4,375 / short call 4,375 / long call 4,385","1","expired","-127","127","-100","873","687.4","8.73","8.4","9.05","10","","","127","873","4388.31","4425.84"
"Jun 20, 2023 10:00am","Jun 20, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,400 / short put 4,410 / short call 4,410 / long call 4,420","1","expired","-120","120","-100","880","733.33","8.8","8.4","9.2","10","","","120","880","4389.69","4388.71"
